mnames,eps,trloss,acc,times
fcnet,1,0.33842360365043994,0.8958,7646.66162109375
fcnet,2,0.2614981113296692,0.9258,6760.1640625
fcnet,3,0.2207932566070125,0.9434,6728.20263671875
fcnet,4,0.17384276550233432,0.9571,6730.3515625
fcnet,5,0.1696174893753774,0.9509,6720.6416015625
fcnet,6,0.14103784786263007,0.9598,6743.12744140625
fcnet,7,0.13878656108953333,0.9459,6731.95263671875
fcnet,8,0.1221943901037577,0.9599,6920.3623046875
fcnet,9,0.12496547543648112,0.9642,6955.51220703125
fcnet,10,0.11189922574720372,0.9636,6920.91748046875
fcnet,11,0.09236892343746199,0.952,6938.1865234375
fcnet,12,0.09919698834243304,0.9674,6945.93212890625
fcnet,13,0.09035993458500645,0.9628,6949.099609375
fcnet,14,0.08431020701202438,0.9701,6939.5341796875
fcnet,15,0.08319170478801627,0.9697,6933.9970703125
resnet50,1,2.690624630053838,0.2993,144718.09375
resnet50,2,2.1743832937876384,0.3624,144409.328125
resnet50,3,1.9212133459250131,0.3921,144445.0
resnet50,4,1.6840222199757895,0.4376,144524.203125
resnet50,5,1.5457061409950257,0.4757,144474.015625
resnet50,6,1.4683817368745804,0.5042,144541.71875
resnet50,7,1.4409145667155583,0.5071,144505.75
resnet50,8,1.414716662367185,0.5177,144547.125
resnet50,9,1.3276414948701858,0.5418,144494.609375
resnet50,10,1.2577347578605016,0.5526,144522.375
resnet50,11,1.2047372394800187,0.5691,144482.0
resnet50,12,1.1534487720330555,0.5875,144503.40625
resnet50,13,1.0904986600081126,0.5998,144507.828125
resnet50,14,1.0773178380727768,0.5933,144540.765625
resnet50,15,1.0378713979323706,0.5973,144545.046875
densenet121,1,1.3982091003656387,0.558,96160.875
densenet121,2,1.0817807771762211,0.6596,96055.5078125
densenet121,3,0.9087556134661039,0.6968,95638.734375
densenet121,4,0.7764344218373299,0.7015,95623.96875
densenet121,5,0.6694894315302372,0.7356,95636.8671875
densenet121,6,0.6082940690219403,0.7467,95756.140625
densenet121,7,0.553450664828221,0.736,95632.1953125
densenet121,8,0.4725787112613519,0.7481,95688.2421875
densenet121,9,0.3886793868864576,0.7594,95746.765625
densenet121,10,0.32752271500726543,0.7638,95818.8359375
densenet121,11,0.2816569984704256,0.7656,95729.546875
densenet121,12,0.27091105248779057,0.7581,95726.640625
densenet121,13,0.21568186592310667,0.7563,95655.1640625
densenet121,14,0.19571725425620873,0.77,95590.4765625
densenet121,15,0.14598761587093273,0.7655,95647.2109375
mobilenet_v2,1,2.2451558156808216,0.2957,47731.96875
mobilenet_v2,2,1.6842647433280944,0.4106,47622.90625
mobilenet_v2,3,1.549766440788905,0.4531,47705.58984375
mobilenet_v2,4,1.4855421592791875,0.3506,47624.875
mobilenet_v2,5,1.5810222140947978,0.4386,47808.30078125
mobilenet_v2,6,1.4666928227742513,0.5009,47758.4140625
mobilenet_v2,7,1.3877419618765514,0.529,47792.9375
mobilenet_v2,8,1.386809419989586,0.5289,47747.72265625
mobilenet_v2,9,1.3284508124987284,0.5613,47642.62109375
mobilenet_v2,10,1.2963981393973032,0.5197,47659.7734375
mobilenet_v2,11,1.3161777460575104,0.5663,47640.203125
mobilenet_v2,12,1.3434592922528585,0.5306,47704.7265625
mobilenet_v2,13,1.2722328956921896,0.5577,47716.640625
mobilenet_v2,14,1.2126621081431708,0.5813,47714.203125
mobilenet_v2,15,1.4154801054795583,0.5197,47644.140625
convnext_small,1,1.6999148134390514,0.4275,455480.96875
convnext_small,2,1.6231521673997242,0.4288,455189.96875
convnext_small,3,1.5645291725794475,0.4406,455096.6875
convnext_small,4,1.5351910976568859,0.4704,455221.71875
convnext_small,5,1.479145759145419,0.4733,455248.1875
convnext_small,6,1.4604755862553915,0.4735,454976.46875
convnext_small,7,1.4392126768827438,0.4792,455099.15625
convnext_small,8,1.4135369706153869,0.4804,455249.96875
convnext_small,9,1.406724527279536,0.4859,455065.15625
convnext_small,10,1.4081716891129812,0.4884,455163.3125
convnext_small,11,1.3802260655164718,0.5082,455018.09375
convnext_small,12,1.3438546627759933,0.5017,455087.09375
convnext_small,13,1.312470233241717,0.5191,454938.5625
convnext_small,14,1.2683539245525997,0.5281,455219.6875
convnext_small,15,1.2396861751874289,0.5395,455337.53125
