framework,mnames,type,eps,loss,acc,times
pytorch,resnet50,training,2,2.1915041172504424,0.3609,144242.875
pytorch,resnet50,training,3,1.881030129591624,0.4079,144285.3125
pytorch,resnet50,training,4,1.6708605511983237,0.4363,144406.421875
pytorch,resnet50,training,5,1.593309041261673,0.4808,144356.296875
pytorch,resnet50,training,6,1.4680751792589823,0.4946,144375.5625
pytorch,resnet50,training,7,1.3904282681147258,0.511,144379.234375
pytorch,resnet50,training,8,1.3574437735478084,0.523,144327.046875
pytorch,resnet50,training,9,1.2870901983976364,0.5388,144334.703125
pytorch,resnet50,training,10,1.212154161334038,0.5502,144349.09375
pytorch,resnet50,training,11,1.1893299541870752,0.5702,144347.6875
pytorch,resnet50,training,12,1.1127797400951385,0.5607,144345.0625
pytorch,resnet50,training,13,1.0782496694723764,0.5711,144383.203125
pytorch,resnet50,training,14,1.0249056484301884,0.5885,144401.171875
pytorch,resnet50,training,15,0.974897552728653,0.5962,144406.15625
pytorch,resnet50,inference,1,1.3383133612632752,0.5962,5200.4072265625
pytorch,densenet121,training,1,1.361930543979009,0.5454,95659.2578125
pytorch,densenet121,training,2,1.0746226437886557,0.644,95395.0234375
pytorch,densenet121,training,3,0.9214414703845978,0.6703,94976.0546875
pytorch,densenet121,training,4,0.7874207896987597,0.7067,94995.90625
pytorch,densenet121,training,5,0.7059571973482768,0.7273,94938.0
pytorch,densenet121,training,6,0.6125282307962576,0.7337,94998.0546875
pytorch,densenet121,training,7,0.528950520803531,0.7393,95108.9140625
pytorch,densenet121,training,8,0.4449442838629087,0.7593,95113.9296875
pytorch,densenet121,training,9,0.424748794833819,0.7506,95038.8671875
pytorch,densenet121,training,10,0.3614013101160526,0.7611,95092.6875
pytorch,densenet121,training,11,0.3060269711414973,0.7683,95059.125
pytorch,densenet121,training,12,0.2475029518951972,0.7661,95059.15625
pytorch,densenet121,training,13,0.2295121078255275,0.7645,95023.0234375
pytorch,densenet121,training,14,0.1979599856088559,0.7552,95041.6015625
pytorch,densenet121,training,15,0.1614793950443466,0.7684,94953.2109375
pytorch,densenet121,inference,1,0.955237308692932,0.7684,4669.16748046875
pytorch,mobilenet_v2,training,1,1.7847539750734964,0.3873,47338.0546875
pytorch,mobilenet_v2,training,2,1.5331573224067687,0.4775,47302.26171875
pytorch,mobilenet_v2,training,3,1.4067062906424204,0.5143,47236.44921875
pytorch,mobilenet_v2,training,4,1.2973716926574708,0.559,47283.2265625
pytorch,mobilenet_v2,training,5,1.2647394756476085,0.5668,47240.01953125
pytorch,mobilenet_v2,training,6,1.1587711532910665,0.5588,47296.90234375
pytorch,mobilenet_v2,training,7,1.1198070098956423,0.5901,47272.34375
pytorch,mobilenet_v2,training,8,1.0934172213077544,0.6204,47288.28125
pytorch,mobilenet_v2,training,9,1.039879650870959,0.6051,47308.91015625
pytorch,mobilenet_v2,training,10,1.0487463545799256,0.6124,47307.49609375
pytorch,mobilenet_v2,training,11,0.962465848326683,0.6576,47312.5234375
pytorch,mobilenet_v2,training,12,0.9290753843386969,0.6527,47292.484375
pytorch,mobilenet_v2,training,13,0.9651314827799796,0.6559,47368.33984375
pytorch,mobilenet_v2,training,14,0.8445453159014384,0.6779,47278.49609375
pytorch,mobilenet_v2,training,15,0.8405286532640457,0.6813,47208.4921875
pytorch,mobilenet_v2,inference,1,0.9021051691055296,0.6813,1944.1678466796875
pytorch,convnext_small,training,1,1.676770537296931,0.4009,418609.8125
pytorch,convnext_small,training,2,1.6251941978931428,0.436,418551.9375
pytorch,convnext_small,training,3,1.5412436107794445,0.4462,418479.875
pytorch,convnext_small,training,4,1.5283352434635162,0.4595,418306.9375
pytorch,convnext_small,training,5,1.4968160581588743,0.46,418509.0
pytorch,convnext_small,training,6,1.4648768784602484,0.4713,418513.4375
pytorch,convnext_small,training,7,1.4505826131502788,0.487,418382.1875
