mnames,eps,trloss,acc,times
convnext_base,1,1.6887810659408569,0.4033,603246.8125
convnext_base,2,1.6311117871602376,0.4321,585498.625
convnext_base,3,1.5736934407552083,0.4434,584516.375
convnext_base,4,1.5224844135840734,0.4483,585641.5
convnext_base,5,1.5274584436416625,0.4494,584308.8125
convnext_base,6,1.4998416590690613,0.4407,585069.5
convnext_base,7,1.4838571202754975,0.4563,585077.5625
convnext_base,8,1.4555147703488667,0.4536,585054.0625
convnext_base,9,1.481658252676328,0.4666,584133.3125
convnext_base,10,1.4618409476677576,0.4484,584469.25
convnext_base,11,1.4414867510398228,0.4616,584276.4375
convnext_base,12,1.4627684356768926,0.4529,584874.4375
convnext_base,13,1.4272696071863173,0.4654,584502.25
convnext_base,14,1.4151796233654022,0.4687,584809.1875
convnext_base,15,1.420190309882164,0.4703,584880.875
