mnames,type,eps,loss,acc,times
fcnet,training,1,0.6072321534156799,0.891700029373169,7154405431
fcnet,training,2,0.3587600588798523,0.9031999707221985,3455013041
fcnet,training,3,0.31735098361968994,0.9211000204086304,3472640005
fcnet,training,4,0.28861695528030396,0.9258000254631042,3469964236
fcnet,training,5,0.2644934356212616,0.9276000261306763,3452552720
fcnet,training,6,0.24314112961292267,0.9277999997138977,3459644295
fcnet,training,7,0.22465816140174866,0.9390000104904175,3446798582
fcnet,training,8,0.20791177451610565,0.9376000165939331,3459957287
fcnet,training,9,0.1935279816389084,0.9466999769210815,3447596020
fcnet,training,10,0.18156972527503967,0.9495000243186951,3453420499
fcnet,training,11,0.17013214528560638,0.9501000046730042,3455759570
fcnet,training,12,0.1603311151266098,0.9517999887466431,3447479205
fcnet,training,13,0.15146984159946442,0.9570000171661377,3446228778
fcnet,training,14,0.14336729049682617,0.9562000036239624,3454729765
fcnet,training,15,0.13583579659461975,0.9598000049591064,3456701304
fcnet,inference,1,0.13631287217140198,0.9598000049591064,232511160
scvnet,training,1,0.5056565999984741,0.9578999876976013,7362955535
scvnet,training,2,0.12351119518280029,0.9721999764442444,5034801514
scvnet,training,3,0.08510179817676544,0.9736999869346619,5024671878
scvnet,training,4,0.06886843591928482,0.9794999957084656,5033691196
scvnet,training,5,0.05755152180790901,0.9828000068664551,5072683654
scvnet,training,6,0.050271935760974884,0.9812999963760376,5175840867
scvnet,training,7,0.04365218058228493,0.9846000075340271,5033712073
scvnet,training,8,0.03927473723888397,0.9843000173568726,5032880641
scvnet,training,9,0.03578253462910652,0.9855999946594238,5033955055
scvnet,training,10,0.03172584995627403,0.9871000051498413,5039898696
scvnet,training,11,0.029236407950520515,0.9854000210762024,5044487416
scvnet,training,12,0.026120884343981743,0.9876000285148621,5039581403
scvnet,training,13,0.02381078526377678,0.9873999953269958,5047850171
scvnet,training,14,0.02187522128224373,0.9865999817848206,5025598606
scvnet,training,15,0.019756808876991272,0.9883000254631042,5040307181
scvnet,inference,1,0.040763307362794876,0.9883000254631042,289955102
resnet50,training,1,1.838423728942871,0.4271000027656555,143399404470
resnet50,training,2,1.490035057067871,0.48649999499320984,119499163122
resnet50,training,3,1.3322761058807373,0.5328999757766724,119533662341
resnet50,training,4,1.2069132328033447,0.5453000068664551,119981933426
resnet50,training,5,1.0980159044265747,0.5582000017166138,119990344067
resnet50,training,6,0.997922956943512,0.5857999920845032,119998586667
resnet50,training,7,0.9019612669944763,0.6177999973297119,120018691498
resnet50,training,8,0.8200758695602417,0.6043999791145325,120000942200
resnet50,training,9,0.7326421737670898,0.6420999765396118,120004665366
resnet50,training,10,0.6525912284851074,0.6419000029563904,120005992198
resnet50,training,11,0.5776445865631104,0.6482999920845032,119971378911
resnet50,training,12,0.515631377696991,0.6477000117301941,120058847180
resnet50,training,13,0.45453938841819763,0.6428999900817871,120073687834
resnet50,training,14,0.40949925780296326,0.6543999910354614,120018990828
resnet50,training,15,0.362876832485199,0.6402000188827515,120012620182
resnet50,inference,1,1.2600847482681274,0.6402000188827515,3704533095
densenet121,training,1,1.7048699855804443,0.43799999356269836,129223872449
densenet121,training,2,1.3759698867797852,0.5303999781608582,87510231755
densenet121,training,3,1.1851592063903809,0.5493999719619751,87549347158
densenet121,training,4,1.0487526655197144,0.6273999810218811,87521241404
densenet121,training,5,0.9296343922615051,0.6269000172615051,87517613392
densenet121,training,6,0.8290332555770874,0.6593000292778015,87559356011
densenet121,training,7,0.7438051700592041,0.6743999719619751,87376868491
densenet121,training,8,0.6599496603012085,0.6704999804496765,87271131669
densenet121,training,9,0.5966283679008484,0.6866000294685364,87467783405
densenet121,training,10,0.5354555249214172,0.6832000017166138,87482622307
densenet121,training,11,0.4712928235530853,0.6929000020027161,87502583901
densenet121,training,12,0.4219583570957184,0.6901999711990356,87447877436
densenet121,training,13,0.3749663233757019,0.7161999940872192,87497425255
densenet121,training,14,0.3308278024196625,0.7031000256538391,87414739472
densenet121,training,15,0.2928194999694824,0.6935999989509583,87636968711
densenet121,inference,1,1.1413376331329346,0.6935999989509583,3388388194
mobilenet_v2,training,1,1.83623206615448,0.10000000149011612,91733837500
mobilenet_v2,training,2,1.5225666761398315,0.10000000149011612,75345625261
mobilenet_v2,training,3,1.373334527015686,0.10000000149011612,75495659462
mobilenet_v2,training,4,1.2791006565093994,0.29809999465942383,75435917970
mobilenet_v2,training,5,1.1958249807357788,0.5807999968528748,75444964564
mobilenet_v2,training,6,1.1318440437316895,0.5760999917984009,75369177367
mobilenet_v2,training,7,1.0717241764068604,0.6080999970436096,75349645372
mobilenet_v2,training,8,1.0234519243240356,0.607699990272522,75368290514
mobilenet_v2,training,9,0.9686228632926941,0.6051999926567078,75365573930
mobilenet_v2,training,10,0.9365418553352356,0.63919997215271,75362432178
mobilenet_v2,training,11,0.8990879058837891,0.6050999760627747,75381335886
mobilenet_v2,training,12,0.8570254445075989,0.6412000060081482,75349569267
mobilenet_v2,training,13,0.8265142440795898,0.6363000273704529,75362305871
mobilenet_v2,training,14,0.7925857305526733,0.6470000147819519,75483375651
mobilenet_v2,training,15,0.765833854675293,0.6498000025749207,75384629806
mobilenet_v2,inference,1,1.0159765481948853,0.6498000025749207,2495782459
convnext_small,training,1,1.5489778518676758,0.49540001153945923,238275267501
convnext_small,training,2,1.2589555978775024,0.54339998960495,189343878987
convnext_small,training,3,1.122172474861145,0.5512999892234802,190872458412
convnext_small,training,4,1.0048977136611938,0.5306000113487244,188768490649
convnext_small,training,5,0.892271876335144,0.5593000054359436,188108590174
