mnames,eps,trloss,acc,times
fcnet,1,0.4321766233580105,0.8899,7200.7578125
fcnet,2,0.3521799971557279,0.901,6951.42333984375
fcnet,3,0.31727853642884074,0.91,6940.8310546875
fcnet,4,0.3125873857003954,0.9192,6938.4814453125
fcnet,5,0.27515685896106246,0.9222,6952.3544921875
fcnet,6,0.26600297662690203,0.9273,6947.73388671875
fcnet,7,0.24357724221872754,0.9261,6942.66357421875
fcnet,8,0.2260985366280339,0.9311,6951.23046875
fcnet,9,0.20533669725277168,0.9388,6931.09912109375
fcnet,10,0.2115197361621615,0.9419,6936.8369140625
fcnet,11,0.18862806946093802,0.9471,6944.85302734375
fcnet,12,0.1663556556567383,0.9499,6946.74462890625
fcnet,13,0.1658101821162795,0.9536,6932.02734375
fcnet,14,0.15710146346582768,0.9531,6929.9990234375
fcnet,15,0.15605103344312643,0.9553,6950.73828125
resnet50,1,1.8341935602823893,0.4124,144966.921875
resnet50,2,1.6099458952744803,0.4588,144599.15625
resnet50,3,1.4725575371583304,0.489,144865.125
resnet50,4,1.3620941172043481,0.5309,144865.296875
resnet50,5,1.2686618800957998,0.5522,144870.578125
resnet50,6,1.1692756199836731,0.5525,144671.140625
resnet50,7,1.1047177523374558,0.5612,144148.28125
resnet50,8,1.0136849095424016,0.5821,144157.40625
resnet50,9,0.9381930043299993,0.6025,144156.09375
resnet50,10,0.8990133252739906,0.5936,144160.96875
resnet50,11,0.8025001745422681,0.6055,144942.328125
resnet50,12,0.700867266257604,0.5986,144937.625
resnet50,13,0.6745650740464528,0.6024,144916.71875
resnet50,14,0.6243110638360182,0.6087,144934.25
resnet50,15,0.5490881157914798,0.6093,144918.90625
densenet121,1,1.4646412603060404,0.4799,95475.453125
densenet121,2,1.264112615386645,0.5622,95517.546875
densenet121,3,1.1170415904124578,0.6132,95223.1015625
densenet121,4,0.9816387158632278,0.628,95185.4375
densenet121,5,0.8808447621266047,0.6548,95092.828125
densenet121,6,0.8018613830208778,0.6733,95255.890625
densenet121,7,0.7258674019575119,0.6801,95194.484375
densenet121,8,0.6416462056835492,0.678,95144.171875
densenet121,9,0.5798873386780421,0.6866,95104.640625
densenet121,10,0.514112192640702,0.6805,95230.390625
densenet121,11,0.45839287211497626,0.694,95271.078125
densenet121,12,0.41056496327122055,0.6938,95275.4921875
densenet121,13,0.3394896664222081,0.691,95212.3984375
densenet121,14,0.30712188720703126,0.6987,95524.328125
densenet121,15,0.2787146763627728,0.7045,95349.8046875
