mnames,eps,trloss,acc,times
fcnet,1,0.6090584397315979,0.8859999775886536,4614585251
fcnet,2,0.3597202003002167,0.9036999940872192,3464170368
fcnet,3,0.3158838450908661,0.9146999716758728,3471962474
fcnet,4,0.28681498765945435,0.9217000007629395,3461918309
fcnet,5,0.2621378004550934,0.9294000267982483,3469683516
fcnet,6,0.24147158861160278,0.9318000078201294,3470140120
fcnet,7,0.22203350067138672,0.9355999827384949,3467698522
fcnet,8,0.2052411288022995,0.9435999989509583,3469718849
fcnet,9,0.19117505848407745,0.944100022315979,3464692865
fcnet,10,0.17834630608558655,0.9477999806404114,3469419564
fcnet,11,0.16710031032562256,0.9513999819755554,3463986484
fcnet,12,0.15732814371585846,0.9545999765396118,3473041330
fcnet,13,0.1482691615819931,0.9567999839782715,3467747569
fcnet,14,0.14061127603054047,0.9564999938011169,3454172401
fcnet,15,0.13249950110912323,0.9578999876976013,3467131817
resnet50,1,1.8129637241363525,0.42419999837875366,139072014768
resnet50,2,1.4775437116622925,0.4948999881744385,119105265955
resnet50,3,1.3195139169692993,0.5303000211715698,119498461010
resnet50,4,1.1887176036834717,0.5461999773979187,119511595652
resnet50,5,1.0801469087600708,0.5824000239372253,119493871491
resnet50,6,0.9826241135597229,0.6026999950408936,119548739863
resnet50,7,0.8951098322868347,0.6146000027656555,119523602515
resnet50,8,0.8023579716682434,0.5878000259399414,119514594388
resnet50,9,0.7212413549423218,0.6211000084877014,119558521437
resnet50,10,0.6508777141571045,0.633899986743927,119549870897
resnet50,11,0.5822358727455139,0.6294999718666077,119547697425
resnet50,12,0.5188778638839722,0.6237999796867371,119572639087
resnet50,13,0.46463605761528015,0.6323999762535095,119571158409
resnet50,14,0.4067130386829376,0.6545000076293945,119546859580
resnet50,15,0.36653247475624084,0.6115999817848206,119572491925
densenet121,1,1.7008405923843384,0.4494999945163727,129158325943
densenet121,2,1.380195140838623,0.5357999801635742,87276196891
densenet121,3,1.1796340942382812,0.5800999999046326,87323054218
densenet121,4,1.0414884090423584,0.6312999725341797,87241062267
densenet121,5,0.9258069396018982,0.6399000287055969,87285116549
densenet121,6,0.8243440389633179,0.6626999974250793,87205077460
densenet121,7,0.7393093109130859,0.6747000217437744,87392116322
densenet121,8,0.6641829609870911,0.6869999766349792,87333966346
densenet121,9,0.5906862616539001,0.6967999935150146,87302171766
densenet121,10,0.5311342477798462,0.6852999925613403,87237052131
densenet121,11,0.4713733494281769,0.6974999904632568,87266920965
densenet121,12,0.41004085540771484,0.7089999914169312,87297408174
densenet121,13,0.3680163323879242,0.6985999941825867,87257060054
densenet121,14,0.33465278148651123,0.7117000222206116,87172002914
densenet121,15,0.29028210043907166,0.7113999724388123,87226222534
mobilenet_v2,1,1.8709403276443481,0.10000000149011612,91743681325
mobilenet_v2,2,1.5649515390396118,0.10000000149011612,75279140377
mobilenet_v2,3,1.4378046989440918,0.10000000149011612,75290630183
mobilenet_v2,4,1.3360087871551514,0.38909998536109924,75306138397
mobilenet_v2,5,1.2539902925491333,0.5529000163078308,75310709542
mobilenet_v2,6,1.183648705482483,0.5551000237464905,75318271888
mobilenet_v2,7,1.1250104904174805,0.5289999842643738,75308558187
mobilenet_v2,8,1.0709857940673828,0.6013000011444092,75299996066
mobilenet_v2,9,1.0167628526687622,0.5866000056266785,75297303777
mobilenet_v2,10,0.974539041519165,0.5870000123977661,75307912397
mobilenet_v2,11,0.9303535223007202,0.6173999905586243,75323717420
mobilenet_v2,12,0.8941799402236938,0.619700014591217,75319658941
mobilenet_v2,13,0.8572112321853638,0.6409000158309937,75298886516
mobilenet_v2,14,0.8242793679237366,0.6237000226974487,75320686130
mobilenet_v2,15,0.7958672046661377,0.637499988079071,75348538481
convnext_small,1,1.5529743432998657,0.5001000165939331,237394665903
convnext_small,2,1.2638041973114014,0.5382000207901001,188488840141
convnext_small,3,1.119573950767517,0.551800012588501,188678858785
convnext_small,4,1.0040957927703857,0.5476999878883362,188634669418
convnext_small,5,0.892760157585144,0.5669000148773193,188885956166
convnext_small,6,0.7824712991714478,0.5706999897956848,188815784076
convnext_small,7,0.6739827394485474,0.5720000267028809,188701284148
convnext_small,8,0.5629153251647949,0.5656999945640564,188757241422
convnext_small,9,0.4545671045780182,0.5666000247001648,188916995090
convnext_small,10,0.3522542119026184,0.5695000290870667,192611658313
convnext_small,11,0.25729623436927795,0.5648999810218811,189807378009
convnext_small,12,0.17543648183345795,0.5630999803543091,191271014573
convnext_small,13,0.10973253101110458,0.5716999769210815,188586684299
convnext_small,14,0.06054344400763512,0.5738999843597412,192482650484
convnext_small,15,0.03247111663222313,0.5856000185012817,188758210830
