framework,model_name,type,epochs,loss,accuracy,exec_time
pytorch,fcnet@gpu,training,1,0.3545675565601164,0.921,7387.603515625
pytorch,fcnet@gpu,training,2,0.26877534448118695,0.9322,7172.36328125
pytorch,fcnet@gpu,training,3,0.21440124257735396,0.9478,7038.38134765625
pytorch,fcnet@gpu,training,4,0.19534446124933144,0.946,6992.64208984375
pytorch,fcnet@gpu,training,5,0.17731727957031135,0.9511,6994.8125
pytorch,fcnet@gpu,training,6,0.13624530918097466,0.9582,7004.318359375
pytorch,fcnet@gpu,training,7,0.13458964286991404,0.9616,7005.880859375
pytorch,fcnet@gpu,training,8,0.13216565634936817,0.9609,6993.33935546875
pytorch,fcnet@gpu,training,9,0.11340496238684283,0.9676,6990.24658203125
pytorch,fcnet@gpu,training,10,0.10690510313096652,0.9577,6976.63427734375
pytorch,fcnet@gpu,training,11,0.10013830052305898,0.9658,6974.28271484375
pytorch,fcnet@gpu,training,12,0.09524157366838401,0.9614,6978.6533203125
pytorch,fcnet@gpu,training,13,0.0914007675683311,0.9629,6976.2666015625
pytorch,fcnet@gpu,training,14,0.09299001223501359,0.9726,6980.85302734375
pytorch,fcnet@gpu,training,15,0.08910234004058544,0.9715,6973.96728515625
pytorch,scvnet@gpu,training,1,0.05826728757439413,0.9849,65133.37109375
pytorch,scvnet@gpu,training,2,0.04186280093839045,0.9869,54166.38671875
pytorch,scvnet@gpu,training,3,0.02850083090206716,0.9901,54168.1484375
pytorch,scvnet@gpu,training,4,0.029147713703771158,0.9901,54151.32421875
pytorch,scvnet@gpu,training,5,0.01855726017507342,0.9872,54141.45703125
pytorch,scvnet@gpu,training,6,0.012674493433788826,0.9905,54151.43359375
pytorch,scvnet@gpu,training,7,0.013358986810080378,0.992,54134.640625
pytorch,scvnet@gpu,training,8,0.00738004193111452,0.9928,54140.28515625
pytorch,scvnet@gpu,training,9,0.011065557868225318,0.9924,54135.578125
pytorch,scvnet@gpu,training,10,0.006111964119382612,0.9929,54138.3125
pytorch,scvnet@gpu,training,11,0.0058089775505508826,0.9925,54142.38671875
pytorch,scvnet@gpu,training,12,0.0027313634803880858,0.9928,54149.671875
pytorch,scvnet@gpu,training,13,0.0022528651789630164,0.9929,54147.5234375
pytorch,scvnet@gpu,training,14,0.0010153259708033503,0.9928,54135.828125
pytorch,scvnet@gpu,training,15,0.0008799200078650215,0.9931,54158.296875
libtorch,fcnet@gpu,training,1,-1,-1,1719.11
libtorch,fcnet@gpu,training,2,-1,-1,1503.55
libtorch,fcnet@gpu,training,3,-1,-1,1510.25
libtorch,fcnet@gpu,training,4,-1,-1,1508.23
libtorch,fcnet@gpu,training,5,-1,-1,1502.37
libtorch,fcnet@gpu,training,6,-1,-1,1508.08
libtorch,fcnet@gpu,training,7,-1,-1,1529.05
libtorch,fcnet@gpu,training,8,-1,-1,1538.62
libtorch,fcnet@gpu,training,9,-1,-1,1544.72
libtorch,fcnet@gpu,training,10,-1,-1,1692.58
libtorch,fcnet@gpu,training,11,-1,-1,1503.49
libtorch,fcnet@gpu,training,12,-1,-1,1509.05
libtorch,fcnet@gpu,training,13,-1,-1,1646.68
libtorch,fcnet@gpu,training,14,-1,-1,1505.58
libtorch,fcnet@gpu,training,15,-1,-1,1510.89
libtorch,fcnet@cpu,training,1,-1,-1,1040.09
libtorch,fcnet@cpu,training,2,-1,-1,875.979
libtorch,fcnet@cpu,training,3,-1,-1,873.819
libtorch,fcnet@cpu,training,4,-1,-1,873.638
libtorch,fcnet@cpu,training,5,-1,-1,890.051
libtorch,fcnet@cpu,training,6,-1,-1,880.278
libtorch,fcnet@cpu,training,7,-1,-1,883.805
libtorch,fcnet@cpu,training,8,-1,-1,878.165
libtorch,fcnet@cpu,training,9,-1,-1,873.097
libtorch,fcnet@cpu,training,10,-1,-1,873.675
libtorch,fcnet@cpu,training,11,-1,-1,890.124
libtorch,fcnet@cpu,training,12,-1,-1,877.329
libtorch,fcnet@cpu,training,13,-1,-1,888.533
libtorch,fcnet@cpu,training,14,-1,-1,877.667
libtorch,fcnet@cpu,training,15,-1,-1,886.759
libtorch,scvnet@cpu,training,1,-1,-1,13932.4
libtorch,scvnet@cpu,training,2,-1,-1,13666
libtorch,scvnet@cpu,training,3,-1,-1,14115.7
libtorch,scvnet@cpu,training,4,-1,-1,13649.8
libtorch,scvnet@cpu,training,5,-1,-1,13997.1
libtorch,scvnet@cpu,training,6,-1,-1,13645.1
libtorch,scvnet@cpu,training,7,-1,-1,14005.3
libtorch,scvnet@cpu,training,8,-1,-1,13865.9
libtorch,scvnet@cpu,training,9,-1,-1,13645.9
libtorch,scvnet@cpu,training,10,-1,-1,13980
libtorch,scvnet@cpu,training,11,-1,-1,14018.6
libtorch,scvnet@cpu,training,12,-1,-1,13620.2
libtorch,scvnet@cpu,training,13,-1,-1,13974.5
libtorch,scvnet@cpu,training,14,-1,-1,13626
libtorch,scvnet@cpu,training,15,-1,-1,13955.4
libtorch,scvnet@gpu,training,1,-1,-1,16042.7
libtorch,scvnet@gpu,training,2,-1,-1,3492.11
libtorch,scvnet@gpu,training,3,-1,-1,3496.26
libtorch,scvnet@gpu,training,4,-1,-1,3498.25
libtorch,scvnet@gpu,training,5,-1,-1,3515.53
libtorch,scvnet@gpu,training,6,-1,-1,3554.81
libtorch,scvnet@gpu,training,7,-1,-1,3582.61
libtorch,scvnet@gpu,training,8,-1,-1,3527.02
libtorch,scvnet@gpu,training,9,-1,-1,3497.12
libtorch,scvnet@gpu,training,10,-1,-1,3503.37
libtorch,scvnet@gpu,training,11,-1,-1,3496.16
libtorch,scvnet@gpu,training,12,-1,-1,3498.99
libtorch,scvnet@gpu,training,13,-1,-1,3496.36
libtorch,scvnet@gpu,training,14,-1,-1,3495.84
libtorch,scvnet@gpu,training,15,-1,-1,3499.53
cudnn,fcnet@gpu,training,1,0.556805,87.9688,803.573
cudnn,fcnet@gpu,training,2,0.556805,87.9688,497.532
cudnn,fcnet@gpu,training,3,0.556805,87.9688,447.717
cudnn,fcnet@gpu,training,4,0.556805,87.9688,447.439
cudnn,fcnet@gpu,training,5,0.556805,87.9688,447.568
cudnn,fcnet@gpu,training,6,0.556805,87.9688,447.297
cudnn,fcnet@gpu,training,7,0.556805,87.9688,447.128
cudnn,fcnet@gpu,training,8,0.556805,87.9688,446.821
cudnn,fcnet@gpu,training,9,0.556805,87.9688,446.615
cudnn,fcnet@gpu,training,10,0.556805,87.9688,447.578
cudnn,fcnet@gpu,training,11,0.556805,87.9688,447.203
cudnn,fcnet@gpu,training,12,0.556805,87.9688,447.289
cudnn,fcnet@gpu,training,13,0.556805,87.9688,446.956
cudnn,fcnet@gpu,training,14,0.556805,87.9688,447.34
cudnn,fcnet@gpu,training,15,0.556805,87.9688,446.769
cudnn,fcnet@gpu,inference,1,0.639373,87.9167,3.32054
cudnn,scvnet@gpu,training,1,0.386785,90.0312,11427.8
cudnn,scvnet@gpu,training,2,0.386785,90.0312,1806.67
cudnn,scvnet@gpu,training,3,0.386785,90.0312,1784.54
cudnn,scvnet@gpu,training,4,0.386785,90.0312,1785
cudnn,scvnet@gpu,training,5,0.386785,90.0312,1784.41
cudnn,scvnet@gpu,training,6,0.386785,90.0312,1784.43
cudnn,scvnet@gpu,training,7,0.386785,90.0312,1785.54
cudnn,scvnet@gpu,training,8,0.386785,90.0312,1784.9
cudnn,scvnet@gpu,training,9,0.386785,90.0312,1784.6
cudnn,scvnet@gpu,training,10,0.386785,90.0312,1783.89
cudnn,scvnet@gpu,training,11,0.386785,90.0312,1784.96
cudnn,scvnet@gpu,training,12,0.386785,90.0312,1784.85
cudnn,scvnet@gpu,training,13,0.386785,90.0312,1785.78
cudnn,scvnet@gpu,training,14,0.386785,90.0312,1784.2
cudnn,scvnet@gpu,training,15,0.386785,90.0312,1784.85
cudnn,scvnet@gpu,inference,1,0.346969,88.4375,38.5846
pytorch,fcnet@cpu,training,1,0.37447655866091817,0.8965,9392.298828125
pytorch,fcnet@cpu,training,2,0.23150041998024595,0.9467,8992.80078125
pytorch,fcnet@cpu,training,3,0.21251602582202997,0.9452,10205.099609375
pytorch,fcnet@cpu,training,4,0.1899758706493605,0.9541,9035.998046875
pytorch,fcnet@cpu,training,5,0.15959927488237155,0.9485,9193.599609375
pytorch,fcnet@cpu,training,6,0.14325875974068406,0.9467,9199.1328125
pytorch,fcnet@cpu,training,7,0.13545141763115182,0.9563,9305.2548828125
pytorch,fcnet@cpu,training,8,0.11672892293656534,0.9619,9294.755859375
pytorch,fcnet@cpu,training,9,0.10976152217734833,0.9669,9169.73828125
pytorch,fcnet@cpu,training,10,0.10162691749564193,0.9681,9176.63671875
pytorch,fcnet@cpu,training,11,0.1015639796873793,0.968,9214.4873046875
pytorch,fcnet@cpu,training,12,0.10325185617687085,0.9644,9187.7822265625
pytorch,fcnet@cpu,training,13,0.08551393160696492,0.9698,9256.3935546875
pytorch,fcnet@cpu,training,14,0.090814135651451,0.9692,9224.748046875
pytorch,fcnet@cpu,training,15,0.06935829054666993,0.9681,9287.2880859375
pytorch,scvnet@cpu,training,1,0.06534447022034999,0.9852,48806.015625
pytorch,scvnet@cpu,training,2,0.04242677575209828,0.9867,48455.859375
pytorch,scvnet@cpu,training,3,0.029644573839857292,0.9901,48251.58984375
pytorch,scvnet@cpu,training,4,0.02338805432204223,0.9883,48237.64453125
pytorch,scvnet@cpu,training,5,0.024968345441825187,0.9908,48204.9296875
pytorch,scvnet@cpu,training,6,0.01696794715476128,0.9906,48181.85546875
pytorch,scvnet@cpu,training,7,0.015884943853846076,0.9897,48221.3515625
pytorch,scvnet@cpu,training,8,0.012538119245656607,0.9924,48247.55859375
pytorch,scvnet@cpu,training,9,0.012584627016335326,0.9911,48343.84765625
pytorch,scvnet@cpu,training,10,0.003388060549985766,0.9919,48373.80078125
pytorch,scvnet@cpu,training,11,0.005810834465456965,0.9916,48343.32421875
pytorch,scvnet@cpu,training,12,0.0028454953383839922,0.9922,48472.4453125
pytorch,scvnet@cpu,training,13,0.0025814791887880375,0.99,48312.97265625
pytorch,scvnet@cpu,training,14,0.002391054455085538,0.9922,48378.87109375
pytorch,scvnet@cpu,training,15,0.0014766976533610657,0.9933,48427.47265625
